Wall time,Step,Value
1741889050.9469652,1851392,1698.68994140625
1741889083.4050903,1865728,1621.6600341796875
1741889092.7736173,1869824,1590.7099609375
1741889120.5655305,1882112,1490.760009765625
1741889129.8368695,1886208,1497.3900146484375
1741889143.7331188,1892352,1505.1500244140625
1741889148.308851,1894400,1526.5999755859375
1741889157.5135078,1898496,1526.6800537109375
1741889194.2921603,1914880,1526.4599609375
1741889198.773726,1916928,1537.06005859375
1741889212.409141,1923072,1595.949951171875
1741889244.447947,1937408,1638.780029296875
1741889257.9221234,1943552,1604.5999755859375
1741889298.598137,1961984,1673.1500244140625
1741889316.7265904,1970176,1732.510009765625
1741889330.1564512,1976320,1742.800048828125
1741889334.7015204,1978368,1762.7900390625
1741889375.9724016,1996800,1781.3699951171875
1741889380.5806708,1998848,1787.2900390625
1741889399.2090025,2007040,1827.4200439453125
1741889403.9664173,2009088,1815.8800048828125
1741889408.5995727,2011136,1798.5799560546875
1741889413.3590972,2013184,1802.02001953125
1741889431.7755857,2021376,1786.510009765625
1741889436.3578,2023424,1776.22998046875
1741889450.256747,2029568,1774.719970703125
1741889454.8788252,2031616,1793.800048828125
1741889491.5131493,2048000,1735.800048828125
1741889509.880265,2056192,1767.6400146484375
1741889518.8679307,2060288,1755.699951171875
1741889528.101358,2064384,1717.6099853515625
1741889532.702774,2066432,1691.6099853515625
1741889574.1788652,2084864,1563.3599853515625
1741889588.034689,2091008,1575.1199951171875
1741889624.7396975,2107392,1512.27001953125
1741889633.8572278,2111488,1498.260009765625
1741889652.2819862,2119680,1462.699951171875
1741889656.8688118,2121728,1471.489990234375
1741889679.595119,2131968,1590.449951171875
1741889711.3452725,2146304,1617.3299560546875
1741889762.5663395,2168832,1719.0400390625
1741889771.98019,2172928,1728.6199951171875
1741889799.858273,2185216,1709.6300048828125
1741889813.7948046,2191360,1765.5899658203125
1741889823.217295,2195456,1729.0999755859375
1741889842.025241,2203648,1847.8599853515625
1741889860.2117474,2211840,1753.8199462890625
1741889869.4421103,2215936,1740.1500244140625
1741889892.3456635,2226176,1654.530029296875
1741889896.8458254,2228224,1676.449951171875
1741889901.3332329,2230272,1676.0699462890625
1741889937.4374104,2246656,1741.1600341796875
1741889964.5146637,2258944,1806.6099853515625
1741889982.6240838,2267136,1793.0
1741889987.2313476,2269184,1788.1500244140625
1741889991.9085484,2271232,1784.6500244140625
1741890033.5384696,2289664,1770.3900146484375
1741890056.2099187,2299904,1856.8399658203125
1741890120.4117029,2328576,1968.7099609375
1741890129.8899014,2332672,1973.02001953125
1741890222.2583346,2373632,1934.800048828125
1741890226.7911322,2375680,1943.9100341796875
1741890245.4374824,2383872,1932.6500244140625
1741890250.1067028,2385920,1925.449951171875
1741890254.646026,2387968,1921.5
1741890336.859623,2424832,1783.949951171875
1741890359.7110925,2435072,1757.9599609375
1741890391.8735752,2449408,1801.4599609375
1741890396.515711,2451456,1800.550048828125
1741890423.9112742,2463744,1800.6099853515625
1741890433.2409728,2467840,1778.719970703125
1741890456.2395058,2478080,1743.97998046875
1741890465.4021614,2482176,1741.1800537109375
1741890474.8045108,2486272,1732.6600341796875
1741890493.3857815,2494464,1703.260009765625
1741890579.0777762,2531328,1667.25
1741890588.7540033,2535424,1660.260009765625
1741890598.2939427,2539520,1665.7099609375
1741890636.627148,2555904,1641.1700439453125
1741890651.2387562,2562048,1642.6300048828125
1741890689.6753867,2578432,1605.449951171875
